119,Samsung UN50MU6070FXZA Flat 50" LED 4K UHD 6 Series SmartTV 2017,B0785SGQLR,450.29,5.0,4
120,VIZIO D-series 32” Class (31.5" Diag.) LED Smart TV,B06XX8JDLP,219.11,5.0,4
121,Upgraded Pyle 23.6-Inch 1080p LED TV | Ultra HD TV | LED Hi Res Widescreen Monitor with HDMI cable RCA Input | LED TV Monitor | Audio Streaming | Mac PC | Stereo Speakers | HD TV Wall Mount,B074TYB2PN,144.99,5.0,4
122,Vizio Smartcast 70M-Series (69.5Diag.4K Home Theater Display,B0738X9X1R,1306.79,4.8,5
123,UpBright NEW Global DC 14V AC / DC Adapter For Samsung PS BN64-02326A-00 PSBN64-02326A-00 LCD LED HD TV Monitor HDTV 14VDC Power Supply Cord Cable PS Battery Charger PSU,B00NQXJ9KK,24.99,5.0,4
124,VIZIO M50-C1 50-Inch 4K Ultra HD Smart LED TV (2015 Model),B00T63YUJO,499.99,4.0,1602
125,VIZIO E Series E470-A0 47-Inch 1080p 60Hz LED-Lit HDTV,B00AF69AN2,500.0,4.0,1522
126,Seiki SE32HY10 32-Inch 720p 60Hz LED TV (2014 Model),B00BXF7JAA,1159.96,4.0,1369
127,VIZIO D50-D1 50-Inch 1080p Smart LED TV (2016 Model),B01A0LGUOI,391.96,4.0,1027
128,Samsung UN55H6203 55-Inch 1080p 120Hz Smart LED TV (2014 Model),B00K4UJ318,1499.0,4.0,707
129,LG Electronics 32LN530B 32-Inch 720p 60Hz LED TV (2013 Model),B00BB0ZTMM,229.0,4.0,576
130,Sony XBR55X850D 55-Inch 4K Ultra HD Smart TV (2016 model),B01A5LU5E4,876.9,4.0,523
131,Samsung Electronics UN32M5300A  32-Inch 1080p Smart LED TV (2017 Model),B071ZW5CQW,227.92,4.0,448
132,VIZIO E43-C2 43-Inch 1080p Smart LED TV (2015 Model),B00SMBFP2W,499.98,4.0,397
133,Coby LEDTV3216 32-Inch 720p 60Hz Slim-Bezel LED HDTV (Black),B008H2FQSE,220.0,4.0,396
134,LG Electronics 55UJ6300 55-Inch 4K Ultra HD Smart LED TV (2017 Model),B01N39OF7M,418.6,4.0,373
135,Samsung UN65KS9800 Curved 65-Inch 4K Ultra HD Smart LED TV (2016 Model),B01DUT81JE,2570.27,4.1,35
136,Samsung UN40HU6950 40-Inch 4K Ultra HD 60Hz Smart LED TV (2014 Model),B00KSBB84S,575.99,4.0,285
137,Sony BRAVIA KDL60EX720 60-Inch 1080p 3D LED HDTV, Black (2011 Model),B004HYG9YG,2400.0,4.0,258
138,LG Electronics 60UB8200 60-Inch 4K Ultra HD Smart LED TV (2014 Model),B00N463GRG,697.0,4.0,244
139,Element ELEFW328R 32" 720p HDTV (Certified Refurbished),B01HQS8UZA,119.0,4.0,232
140,TCL 40D100 40-Inch 1080p LED TV (2017 Model),B01LZZIKLZ,229.99,4.0,230
141,LG Electronics 55UH7700 55-Inch 4K Ultra HD Smart LED TV (2016 Model),B01C9CZEW0,896.96,4.0,211
142,Element ELEFW248R 24" 720p HDTV (Certified Refurbished),B01HQUAX94,88.0,4.0,208
143,Sony KDL60W630B 60-Inch 1080p 120Hz Smart LED TV (2014 Model),B00HPMCN8S,650.0,4.0,202
144,LG Electronics 43UH6100 43-Inch 4K Ultra HD Smart LED TV (2016 Model),B01CF07L54,398.0,4.0,195
145,Sony XBR43X830C 43-Inch 4K Ultra HD Smart LED TV (2015 Model),B00R45XH86,430.0,4.0,177
146,Sony KDL70W850B 70-Inch 1080p 120Hz 3D Smart LED TV (2014 Model),B00HPMCN7E,1199.0,4.0,163
147,Vizio 24IN D-SERIES LED SMART TV 23.54IN DIAG D24H-E1,B06XQW5FJH,130.58,4.3,12
148,Samsung 32" Class 1080p LED Smart HDTV with Full Web Browser,B01F06OTNM,319.98,4.3,12
149,Sony XBR55X700D 55-Inch 4K Ultra HD Smart LED TV (2016 Model),B01FWIEMSU,589.0,4.0,148
150,Hisense 55H8C 55-Inch 4K Ultra HD Smart LED TV (2016 Model),B01E6PGT90,429.99,4.0,139
151,Sony XBR49X800D 49-Inch 4K Ultra HD TV (2016 Model),B01FWIEO6A,550.0,4.0,128
152,LG Electronics 65LF6300 65-Inch 1080p 120Hz Smart LED TV (2015 Model),B00TRQORZC,1249.99,4.0,123
153,Sony XBR65X750D 65-Inch 4K Ultra HD Smart LED TV (2016 Model),B01FWIEMVW,500.0,4.0,122
154,Vizio D39HN-E0 39" LED TV, Black,B019PZD49Y,229.99,4.0,114
155,VIZIO D48-D0 D-Series 48" Class Full Array LED Smart TV (Black),B019PZD33G,418.9,4.0,105
156,LG Electronics 60PN6500 60-Inch 1080p 600Hz Plasma HDTV (Black) (2013 Model),B00BBAG0FM,7521.14,4.0,105
157,Sceptre X438BV-FSR  43 inches 1080p LED TV (2017),B075QTSZF5,199.99,4.6,6
158,Westinghouse 24" Class 720p 60Hz LED HDTV - Black (LD-2480),B00KAKCF3K,189.99,4.6,6
159,VIZIO D24-D1 D-Series 24" Class LED Smart TV (Black) (Certified Refurbished),B01H7VRH3W,149.99,4.0,94
160,Sony KD43X720E 43-Inch 4K Ultra HD Smart LED TV (2017 Model),B071FFFRXM,408.0,4.0,91
161,Sceptre 65" 4K Ultra HD LED TV, Black (2018) (U658CV-UMC),B0198XNF6U,527.0,4.0,87
162,Samsung UN32M530D 32" Class M530D Series 1080p Smart LED TV,B075W1MX42,224.99,4.7,5
163,Samsung UN55KU6290 55-Inch 4K Ultra HD Smart LED TV (2016 Model),B01E69RCEW,569.97,4.0,57
164,SCEPTRE X322BV-HDR 32" LED Class 720P HDTV with ultra slim metal brush bezel, 60Hz by Sceptre,B01AQAUH92,132.99,4.0,55
